t,fx,fy,fz,tx,ty,tz
1709144272976506,-7.749728612499999,-1.4755084166666668,-6.1889175000000005,-0.12093945,-0.8291992083333332,0.1902856666666667
1709144272977942,-8.1724426125,1.6037255833333335,-7.3999275,-0.29012245,-0.8462992083333333,0.17707066666666668
1709144272979378,-8.159747612499999,4.311761583333333,-7.8032275,-0.41665945,-0.8557492083333332,0.18345366666666668
1709144272980820,-7.5794186125,6.444661583333334,-8.2312175,-0.52873145,-0.8176492083333332,0.1895506666666667
1709144272982243,-7.0217886125,8.345291583333333,-7.849947500000001,-0.64014345,-0.7932592083333333,0.19102666666666668
1709144272983674,-6.3590286124999995,7.541861583333334,-7.4117675,-0.59678745,-0.7498392083333333,0.1901026666666667
1709144272985113,-7.282948612499999,4.5800115833333335,-7.6199775,-0.44986044999999997,-0.7771992083333333,0.1969256666666667
1709144272986550,-9.2404566125,1.3076355833333333,-6.8723275,-0.28633945,-0.9325892083333333,0.17830866666666667
1709144272987993,-8.837397612499998,-2.2243184166666667,-6.6717675,-0.07703545,-0.8640892083333332,0.18337066666666668
1709144272989443,-9.473953612499999,-3.8461084166666666,-5.8523975,0.017590550000000038,-0.9373092083333333,0.17165166666666667
1709144272990869,-8.6679206125,-3.553888416666666,-5.9261775000000005,-0.005855449999999984,-0.8635392083333332,0.16033466666666668
1709144272992310,-8.8887766125,-2.419698416666667,-6.097557500000001,-0.041415449999999965,-0.8866492083333332,0.1546046666666667
1709144272993727,-8.873671612499999,-0.36638841666666666,-6.6689475,-0.15260845,-0.8811792083333333,0.14284366666666667
1709144272995171,-9.0224916125,1.3760715833333335,-7.665267500000001,-0.22902945,-0.8825292083333333,0.15370666666666669
1709144272996589,-9.4065306125,2.7243215833333334,-8.0993075,-0.31334245,-0.9027492083333332,0.1478056666666667
1709144272998034,-9.441733612499998,2.497881583333333,-8.0649275,-0.29665745,-0.9077692083333332,0.14204266666666668
1709144272999457,-9.2099756125,1.4662375833333334,-7.6511975,-0.22704844999999999,-0.8963092083333332,0.13715766666666668
1709144273000911,-8.8003566125,0.5262515833333334,-6.6910975,-0.17762544999999996,-0.8889192083333334,0.1301466666666667
1709144273002349,-7.847028612499999,-0.2692884166666667,-6.1602975,-0.11057544999999996,-0.8313292083333333,0.1285446666666667
1709144273003778,-7.115698612499999,0.5470635833333334,-6.0814475,-0.14712145,-0.7944292083333332,0.11861066666666668
1709144273005198,-6.546358612499999,2.6406015833333334,-6.5147075,-0.23875444999999998,-0.7574992083333333,0.11826066666666668
1709144273006611,-7.128978612499999,5.330791583333333,-7.3683175,-0.38876445,-0.7769892083333333,0.11956566666666668
1709144273008052,-7.892868612499999,7.346501583333334,-8.3074675,-0.48921044999999996,-0.8262092083333333,0.11308566666666668
1709144273009482,-8.376719612499999,8.980531583333333,-8.928067500000001,-0.57654445,-0.8410492083333333,0.12031766666666668
1709144273010929,-8.7073006125,8.896441583333333,-8.8688575,-0.58495445,-0.8962492083333332,0.12549566666666667
1709144273012375,-7.0713886125,6.944591583333334,-8.2429675,-0.47801645,-0.7761792083333333,0.12786366666666668
1709144273013839,-6.846838612499999,4.804511583333333,-7.2763575,-0.36860145,-0.7767492083333333,0.1309016666666667
1709144273015244,-6.989218612499999,2.3591415833333333,-6.4343575,-0.23602145,-0.7552592083333333,0.12312266666666669
1709144273016653,-9.3377516125,0.9927875833333334,-6.0498075,-0.15487344999999997,-0.9013892083333334,0.12243966666666668
1709144273018095,-10.919528612499999,1.0552705833333333,-6.409777500000001,-0.15372344999999998,-0.9828392083333334,0.11081466666666669
1709144273019527,-11.4929486125,2.5036415833333336,-7.1542675,-0.22601044999999997,-1.0249192083333334,0.11210666666666669
1709144273020990,-10.278288612499999,4.680631583333334,-7.9336775,-0.34378244999999996,-0.9639792083333333,0.11689166666666669
1709144273022375,-8.797386612499999,6.943341583333334,-8.2438875,-0.46063345,-0.8678892083333333,0.11841466666666668
1709144273023817,-8.1871636125,8.423391583333332,-8.1262975,-0.54112745,-0.8446192083333334,0.12075866666666668
1709144273025255,-8.423207612499999,8.688851583333333,-7.7931574999999995,-0.5553694499999999,-0.8413792083333332,0.1267676666666667
1709144273026673,-9.661069612499999,8.346121583333334,-7.4925075,-0.54907745,-0.9300392083333332,0.13238066666666667
1709144273028140,-9.696081612499999,7.368881583333334,-7.5306375,-0.49498044999999996,-0.9359992083333332,0.14041166666666668
1709144273029551,-8.884105612499999,6.500151583333333,-7.6657075,-0.44037044999999997,-0.8961792083333332,0.14107866666666669
1709144273030983,-8.0280486125,6.680431583333333,-7.6033675,-0.47681144999999997,-0.8603692083333333,0.14312666666666668
1709144273032405,-7.041068612499999,6.485771583333333,-7.5443275,-0.45853445,-0.7918792083333334,0.15091966666666667
1709144273033841,-7.078968612499999,6.896891583333334,-7.5239775,-0.48016844999999997,-0.7969992083333334,0.1436606666666667
1709144273035303,-8.0671086125,7.7695515833333335,-7.4797674999999995,-0.5419414499999999,-0.8498592083333333,0.1573226666666667
1709144273036686,-9.0761376125,7.617521583333334,-8.0656175,-0.53558945,-0.9108692083333333,0.16330566666666668
1709144273038120,-9.044799612499999,7.273551583333334,-8.5161375,-0.53522045,-0.9030292083333332,0.1712836666666667
1709144273039549,-9.063134612499999,6.306941583333334,-8.6670175,-0.49162145,-0.9086092083333334,0.1721706666666667
1709144273041007,-9.315838612499999,4.564231583333333,-8.4274875,-0.41472745,-0.9187192083333332,0.1760586666666667
1709144273042415,-9.6390436125,2.4148715833333334,-7.7868675,-0.30052945,-0.9423692083333334,0.1758876666666667
1709144273043849,-9.8669086125,0.7873795833333334,-7.0988975,-0.21254545,-0.9558292083333332,0.16862166666666667
1709144273045282,-9.7105916125,0.2595625833333334,-6.6121375,-0.17854644999999997,-0.9438192083333333,0.17296566666666668
1709144273046733,-9.9057046125,0.5072845833333334,-6.9183575,-0.19053345,-0.9370492083333332,0.1739116666666667
1709144273048141,-10.6121586125,2.0651615833333334,-7.6177075,-0.28113845,-0.9830892083333332,0.1675366666666667
1709144273049585,-10.9768386125,3.7060915833333334,-8.4100675,-0.36089545,-1.0102392083333331,0.16104966666666667
1709144273051016,-10.703418612499998,4.753251583333333,-8.9805175,-0.42972345,-0.9973092083333334,0.17091366666666669
1709144273052453,-9.578849612499999,5.078001583333333,-8.9676575,-0.45248145,-0.9394192083333334,0.17603066666666667
1709144273053895,-8.3437516125,4.325171583333334,-8.5976775,-0.40690545,-0.8802292083333333,0.1731906666666667
1709144273055333,-7.5144586124999995,3.372931583333333,-8.043117500000001,-0.35741744999999997,-0.8118692083333333,0.17918066666666668
1709144273056746,-7.969278612499999,2.1138715833333332,-7.7120375,-0.29971044999999996,-0.8531792083333333,0.17055066666666668
1709144273058182,-8.720652612499999,0.6910175833333334,-7.710637500000001,-0.22029844999999998,-0.8660792083333332,0.17171866666666669
1709144273059616,-10.0156466125,-0.0350684166666666,-7.9063175,-0.18056145,-0.9735492083333334,0.1641776666666667
1709144273061042,-9.3202206125,-0.1482384166666666,-8.2660475,-0.18739345,-0.9321792083333332,0.1585926666666667
1709144273062474,-7.935258612499999,-0.3686184166666666,-8.6732575,-0.15664045,-0.8402692083333333,0.16584966666666667
1709144273063907,-7.163468612499999,-0.10138841666666654,-8.5244775,-0.18270545,-0.8021692083333333,0.1491006666666667
1709144273065351,-7.192088612499999,0.08839358333333336,-8.1417175,-0.19046744999999998,-0.7649592083333333,0.15433566666666668
1709144273066772,-9.5748206125,-0.5880584166666667,-8.0448875,-0.14612945,-0.9197992083333332,0.1468046666666667
1709144273068208,-10.634348612499998,-1.2783384166666665,-8.0802175,-0.11446645,-0.9616792083333333,0.14067966666666668
1709144273069630,-11.3222786125,-2.0646684166666667,-8.2476775,-0.06047045000000001,-1.0148092083333333,0.13954466666666668
1709144273071106,-10.581878612499999,-2.2731884166666667,-8.4012375,-0.053071449999999964,-0.9785392083333332,0.1320056666666667
1709144273072501,-9.1077426125,-2.117328416666667,-8.2538875,-0.05041245,-0.8787892083333332,0.13507966666666668
1709144273073919,-8.6498386125,-1.3210884166666668,-8.0368575,-0.08064644999999998,-0.8655592083333333,0.11308666666666668
1709144273075356,-8.108996612499999,0.015211583333333278,-7.5841674999999995,-0.15020144999999996,-0.8102692083333333,0.12009466666666668
1709144273076841,-9.1273116125,0.9491285833333334,-7.8688975,-0.18330644999999998,-0.8808092083333333,0.11800666666666668
1709144273078257,-9.422837612499999,2.2701115833333336,-8.437637500000001,-0.25773945,-0.8921292083333333,0.11763666666666668
1709144273079690,-9.2583996125,3.251991583333333,-9.0198965,-0.30410245,-0.8862892083333332,0.12069266666666668
1709144273081125,-8.7157356125,3.636961583333333,-9.4889415,-0.32868345,-0.8751992083333332,0.11988566666666668
1709144273082538,-7.126798612499999,3.2366815833333336,-9.2440445,-0.31684245,-0.7458092083333333,0.12122066666666668
1709144273083956,-7.8724686125,2.3758015833333337,-8.4938275,-0.26020345,-0.8248892083333333,0.11605066666666669
1709144273085419,-7.894388612499999,1.4655865833333332,-7.7488475,-0.21447845,-0.8089192083333333,0.11691966666666669
1709144273086831,-7.8618186125,0.5495725833333334,-7.5173075,-0.15574044999999997,-0.8104892083333334,0.12232466666666669
1709144273088260,-8.1116176125,0.8833755833333334,-7.9416475,-0.18093545,-0.8125692083333332,0.12217966666666669
1709144273089667,-8.5821386125,1.7911655833333335,-8.2783075,-0.22462544999999998,-0.8454892083333333,0.11679466666666669
1709144273091150,-9.047030612499999,2.630601583333333,-9.0202635,-0.26305045,-0.8566292083333332,0.11998466666666668
1709144273092587,-9.634578612499999,3.6995415833333336,-8.7843575,-0.33202945,-0.9016692083333332,0.12365466666666669
1709144273094032,-9.3499236125,3.8981215833333334,-8.4108475,-0.33878244999999996,-0.8895392083333332,0.12258166666666669
1709144273095439,-8.698338612499999,4.117961583333333,-7.9568475,-0.34070245,-0.8436592083333333,0.13645866666666667
1709144273096885,-8.8296746125,4.530111583333333,-7.7093475,-0.37072445,-0.8454092083333332,0.13918566666666668
1709144273098321,-9.2653996125,4.781531583333333,-8.0925975,-0.38737845,-0.8670492083333333,0.14253466666666667
1709144273099737,-9.733110612499999,5.482421583333333,-8.3637675,-0.41615445,-0.9157092083333332,0.13644166666666668
1709144273101152,-9.3471946125,6.359251583333333,-8.8274275,-0.47616745,-0.8922992083333333,0.15050366666666667
1709144273102597,-8.3856736125,6.757991583333333,-8.7440875,-0.49162845,-0.8409992083333332,0.15514466666666668
1709144273104009,-7.604728612499999,7.656841583333334,-8.4256175,-0.53817845,-0.8072292083333333,0.15885266666666667
1709144273105445,-7.075348612499999,8.521221583333332,-8.2136775,-0.59273745,-0.7672692083333333,0.16786066666666669
1709144273106883,-7.286458612499999,8.381341583333333,-8.1681075,-0.5868354499999999,-0.7791892083333333,0.17473966666666668
1709144273108309,-8.550721612499999,8.525841583333333,-8.4755775,-0.60249845,-0.8271892083333333,0.18266966666666667
1709144273109743,-10.3934986125,8.284421583333334,-8.7199575,-0.60058245,-0.9804292083333334,0.18031366666666668
1709144273111204,-9.696454612499998,6.943951583333334,-9.2186045,-0.53174845,-0.9278192083333333,0.18845066666666668
1709144273112618,-8.4801716125,6.295751583333334,-8.8290675,-0.50203245,-0.8627892083333332,0.19597366666666668
1709144273114055,-7.273128612499999,5.838101583333334,-8.1265375,-0.49134544999999996,-0.8003992083333332,0.1881046666666667
1709144273115479,-7.229178612499999,5.1211615833333335,-7.557577500000001,-0.43744845,-0.7732692083333333,0.1981966666666667
1709144273116918,-9.0801496125,5.009521583333333,-7.4559275,-0.44055045,-0.8925492083333332,0.1916216666666667
1709144273118352,-10.3026386125,5.635761583333333,-7.8546975,-0.47842445,-0.9454492083333333,0.1992276666666667
1709144273119766,-11.289178612499999,5.750171583333334,-8.602897500000001,-0.47969245,-1.0269492083333334,0.1995626666666667
1709144273121204,-10.2809386125,6.297091583333334,-9.2791145,-0.5153474499999999,-0.9735992083333332,0.2037196666666667
1709144273122652,-8.853074612499999,6.940381583333334,-9.0350545,-0.55735345,-0.8775892083333333,0.20805666666666667
1709144273124082,-8.326075612499999,6.832421583333334,-8.5330975,-0.54942545,-0.8765692083333333,0.19402066666666667
1709144273125494,-7.4610386124999994,6.287021583333334,-7.8646575,-0.51685145,-0.7995192083333332,0.20412466666666668
1709144273126939,-8.3323446125,5.725851583333333,-7.7876275,-0.48339545,-0.8661592083333333,0.20105166666666668
1709144273128372,-8.7898396125,5.227661583333334,-8.0781175,-0.46525645,-0.8775692083333332,0.2034406666666667
