fx,fy,fz,tx,ty,tz,ax,ay,az,gx,gy,gz,r11,r12,r13,r21,r22,r23,r31,r32,r33,fx_cal,fy_cal,fz_cal,tx_cal,ty_cal,tz_cal,ax_cal,ay_cal,az_cal
9.16875,-0.999505,0.847714,0.433006,-0.689014,-0.15493,-1.00466,0.0277075,0.0774487,-1.24474e-08,-0.000608484,-9.82085,1.76048e-05,1.0,-6.19584e-05,-1.0,1.76048e-05,1.76679e-10,1.26745e-09,6.19584e-05,1.0,-9.012960888252152,0.03693483524355312,-9.382616515759311,6.548424068764103e-05,-0.39852705300859603,-0.0036632664756447164,-1.0130523319921876,-0.9795654609375,-0.003227379687500004
9.26869,-1.10742,19.1091,0.428833,-0.69722,-0.155844,0.996572,-0.00679443,0.0740698,-1.31813e-05,-0.000428411,9.82085,-2.99592e-07,-1.0,-4.36227e-05,-1.0,2.9965e-07,-1.34216e-06,1.34217e-06,4.36226e-05,-1.0,-8.913020888252152,-0.07098016475644697,8.87876948424069,-0.004107515759312341,-0.40673305300859597,-0.0045772664756447146,0.9881796680078125,-1.0140673909375,-0.006606279687499994
18.2132,-1.02405,10.0234,0.439296,-0.289029,-0.157162,0.0109448,1.00745,0.0859253,9.82085,2.48339e-05,0.00133054,-0.000135482,3.5919e-07,1.0,-2.52865e-06,1.0,-3.59533e-07,-1.0,-2.5287e-06,-0.000135482,0.03148911174784885,0.012389835243553193,-0.20693051575931065,0.006355484240687659,0.0014579469914040022,-0.0058952664756447,0.002552468007812501,0.00017703906249999513,0.005249220312499997
-0.115346,-1.00005,9.97874,0.429817,-1.0922,-0.156939,-0.0152881,-0.991082,0.0741064,-9.82085,-8.82741e-06,-0.00118755,0.000120921,-1.7966e-07,-1.0,-8.98823e-07,1.0,-1.79769e-07,1.0,8.98845e-07,0.000120921,-18.29705688825215,0.03638983524355299,-0.251590515759311,-0.0031235157593123564,-0.8017130530085961,-0.0056722664756446994,-0.0236804319921875,-1.9983549609375,-0.006569679687499996
8.94884,-1.05261,0.847133,0.431572,-0.689666,-0.158588,-1.0057,0.0197681,0.0771484,-0.000852113,3.76543e-06,-9.82085,1.0,2.39693e-07,-8.67658e-05,-2.3966e-07,1.0,3.83433e-07,8.67658e-05,-3.83412e-07,1.0,-9.232870888252151,-0.016170164756446948,-9.383197515759312,-0.0013685157593123498,-0.399179053008596,-0.007321266475644711,-1.0140923319921875,-0.9875048609375,-0.0035276796874999933
9.21974,-1.05732,19.1202,0.434686,-0.694612,-0.156027,0.996907,-0.00168701,0.0790405,0.000255988,2.82474e-06,9.82085,-1.0,1.19888e-07,2.60657e-05,1.19881e-07,1.0,-2.8763e-07,-2.60657e-05,-2.87627e-07,-1.0,-8.961970888252152,-0.02088016475644694,8.88986948424069,0.0017454842406876558,-0.404125053008596,-0.004760266475644703,0.9885146680078125,-1.0089599709375,-0.0016355796874999995
18.2475,-1.07723,10.0022,0.433807,-0.289503,-0.157061,0.00946533,1.00838,0.0791064,9.82085,0.000713822,0.00015065,7.26843e-05,-1.0,2.88745e-07,-1.53398e-05,2.8763e-07,1.0,-1.0,-7.26843e-05,-1.53398e-05,0.06578911174784707,-0.04079016475644681,-0.22813051575931098,0.0008664842406876372,0.0009839469914039722,-0.00579426647564471,0.001072998007812501,0.0011070390625000925,-0.0015696796875000057
-0.062394,-1.04321,9.90633,0.431527,-1.09477,-0.156003,-0.0217578,-0.990469,0.0748291,-9.82085,-0.000720884,-4.64954e-05,-7.34035e-05,1.0,8.05313e-06,-4.73377e-06,-8.05347e-06,1.0,1.0,7.34034e-05,4.73436e-06,-18.244104888252153,-0.0067701647564468725,-0.32400051575931066,-0.001413515759312367,-0.804283053008596,-0.004736266475644707,-0.0301501319921875,-1.9977419609375,-0.0058469796875000035
9.31803,-10.1947,10.0512,0.833374,-0.699689,-0.157341,-0.00661865,0.00664551,1.08096,-0.00118225,-9.82085,7.64965e-06,-1.0,0.000120382,-3.59651e-07,-3.59557e-07,7.78963e-07,1.0,0.000120382,1.0,-7.7892e-07,-8.863680888252151,-9.158260164756445,-0.1791305157593115,0.4004334842406876,-0.409202053008596,-0.006074266475644713,-0.015010981992187498,-1.0006274509375,1.0002839203125
8.87114,8.19897,9.94056,0.0307569,-0.682876,-0.156057,-0.00548096,0.0109497,-0.926809,-0.000547284,9.82085,2.94279e-06,1.0,5.57267e-05,-1.67752e-07,1.67769e-07,-2.99638e-07,1.0,5.57267e-05,-1.0,-2.99647e-07,-9.310570888252151,9.235409835243551,-0.28977051575931156,-0.4021836157593124,-0.39238905300859606,-0.0047902664756447055,-0.013873291992187498,-0.9963232609375,-1.0074850796875
